,,,,,,,,Actual,Prediction
0,5.1,3.5,1.4,0.2,Iris-setosa,,#N/A,train,
1,4.9,3,1.4,0.2,Iris-setosa,,#N/A,train,
2,4.7,3.2,1.3,0.2,Iris-setosa,,#N/A,train,
3,4.6,3.1,1.5,0.2,Iris-setosa,,#N/A,train,
4,5,3.6,1.4,0.2,Iris-setosa,,#N/A,train,
5,5.4,3.9,1.7,0.4,Iris-setosa,,5,test,
6,4.6,3.4,1.4,0.3,Iris-setosa,,#N/A,train,
7,5,3.4,1.5,0.2,Iris-setosa,,#N/A,train,
8,4.4,2.9,1.4,0.2,Iris-setosa,,#N/A,train,
9,4.9,3.1,1.5,0.1,Iris-setosa,,#N/A,train,
10,5.4,3.7,1.5,0.2,Iris-setosa,,#N/A,train,
11,4.8,3.4,1.6,0.2,Iris-setosa,,11,test,
12,4.8,3,1.4,0.1,Iris-setosa,,#N/A,train,
13,4.3,3,1.1,0.1,Iris-setosa,,#N/A,train,
14,5.8,4,1.2,0.2,Iris-setosa,,#N/A,train,
15,5.7,4.4,1.5,0.4,Iris-setosa,,#N/A,train,
16,5.4,3.9,1.3,0.4,Iris-setosa,,#N/A,train,
17,5.1,3.5,1.4,0.3,Iris-setosa,,17,test,
18,5.7,3.8,1.7,0.3,Iris-setosa,,#N/A,train,
19,5.1,3.8,1.5,0.3,Iris-setosa,,#N/A,train,
20,5.4,3.4,1.7,0.2,Iris-setosa,,#N/A,train,
21,5.1,3.7,1.5,0.4,Iris-setosa,,#N/A,train,
22,4.6,3.6,1,0.2,Iris-setosa,,22,test,
23,5.1,3.3,1.7,0.5,Iris-setosa,,#N/A,train,
24,4.8,3.4,1.9,0.2,Iris-setosa,,#N/A,train,
25,5,3,1.6,0.2,Iris-setosa,,#N/A,train,
26,5,3.4,1.6,0.4,Iris-setosa,,#N/A,train,
27,5.2,3.5,1.5,0.2,Iris-setosa,,#N/A,train,
28,5.2,3.4,1.4,0.2,Iris-setosa,,28,test,
29,4.7,3.2,1.6,0.2,Iris-setosa,,#N/A,train,
30,4.8,3.1,1.6,0.2,Iris-setosa,,#N/A,train,
31,5.4,3.4,1.5,0.4,Iris-setosa,,#N/A,train,
32,5.2,4.1,1.5,0.1,Iris-setosa,,32,test,
33,5.5,4.2,1.4,0.2,Iris-setosa,,#N/A,train,
34,4.9,3.1,1.5,0.1,Iris-setosa,,#N/A,train,
35,5,3.2,1.2,0.2,Iris-setosa,,#N/A,train,
36,5.5,3.5,1.3,0.2,Iris-setosa,,36,test,
37,4.9,3.1,1.5,0.1,Iris-setosa,,37,test,
38,4.4,3,1.3,0.2,Iris-setosa,,#N/A,train,
39,5.1,3.4,1.5,0.2,Iris-setosa,,#N/A,train,
40,5,3.5,1.3,0.3,Iris-setosa,,40,test,
41,4.5,2.3,1.3,0.3,Iris-setosa,,41,test,
42,4.4,3.2,1.3,0.2,Iris-setosa,,#N/A,train,
43,5,3.5,1.6,0.6,Iris-setosa,,#N/A,train,
44,5.1,3.8,1.9,0.4,Iris-setosa,,#N/A,train,
45,4.8,3,1.4,0.3,Iris-setosa,,45,test,
46,5.1,3.8,1.6,0.2,Iris-setosa,,46,test,
47,4.6,3.2,1.4,0.2,Iris-setosa,,#N/A,train,
48,5.3,3.7,1.5,0.2,Iris-setosa,,#N/A,train,
49,5,3.3,1.4,0.2,Iris-setosa,,#N/A,train,
50,7,3.2,4.7,1.4,Iris-versicolor,,#N/A,train,
51,6.4,3.2,4.5,1.5,Iris-versicolor,,51,test,
52,6.9,3.1,4.9,1.5,Iris-versicolor,,52,test,
53,5.5,2.3,4,1.3,Iris-versicolor,,#N/A,train,
54,6.5,2.8,4.6,1.5,Iris-versicolor,,#N/A,train,
55,5.7,2.8,4.5,1.3,Iris-versicolor,,#N/A,train,
56,6.3,3.3,4.7,1.6,Iris-versicolor,,#N/A,train,
57,4.9,2.4,3.3,1,Iris-versicolor,,#N/A,train,
58,6.6,2.9,4.6,1.3,Iris-versicolor,,#N/A,train,
59,5.2,2.7,3.9,1.4,Iris-versicolor,,#N/A,train,
60,5,2,3.5,1,Iris-versicolor,,#N/A,train,
61,5.9,3,4.2,1.5,Iris-versicolor,,#N/A,train,
62,6,2.2,4,1,Iris-versicolor,,#N/A,train,
63,6.1,2.9,4.7,1.4,Iris-versicolor,,63,test,
64,5.6,2.9,3.6,1.3,Iris-versicolor,,#N/A,train,
65,6.7,3.1,4.4,1.4,Iris-versicolor,,#N/A,train,
66,5.6,3,4.5,1.5,Iris-versicolor,,66,test,
67,5.8,2.7,4.1,1,Iris-versicolor,,#N/A,train,
68,6.2,2.2,4.5,1.5,Iris-versicolor,,#N/A,train,
69,5.6,2.5,3.9,1.1,Iris-versicolor,,#N/A,train,
70,5.9,3.2,4.8,1.8,Iris-versicolor,,70,test,
71,6.1,2.8,4,1.3,Iris-versicolor,,#N/A,train,
72,6.3,2.5,4.9,1.5,Iris-versicolor,,#N/A,train,
73,6.1,2.8,4.7,1.2,Iris-versicolor,,#N/A,train,
74,6.4,2.9,4.3,1.3,Iris-versicolor,,74,test,
75,6.6,3,4.4,1.4,Iris-versicolor,,#N/A,train,
76,6.8,2.8,4.8,1.4,Iris-versicolor,,76,test,
77,6.7,3,5,1.7,Iris-versicolor,,77,test,
78,6,2.9,4.5,1.5,Iris-versicolor,,#N/A,train,
79,5.7,2.6,3.5,1,Iris-versicolor,,79,test,
80,5.5,2.4,3.8,1.1,Iris-versicolor,,80,test,
81,5.5,2.4,3.7,1,Iris-versicolor,,#N/A,train,
82,5.8,2.7,3.9,1.2,Iris-versicolor,,82,test,
83,6,2.7,5.1,1.6,Iris-versicolor,,#N/A,train,
84,5.4,3,4.5,1.5,Iris-versicolor,,84,test,
85,6,3.4,4.5,1.6,Iris-versicolor,,85,test,
86,6.7,3.1,4.7,1.5,Iris-versicolor,,#N/A,train,
87,6.3,2.3,4.4,1.3,Iris-versicolor,,#N/A,train,
88,5.6,3,4.1,1.3,Iris-versicolor,,#N/A,train,
89,5.5,2.5,4,1.3,Iris-versicolor,,#N/A,train,
90,5.5,2.6,4.4,1.2,Iris-versicolor,,#N/A,train,
91,6.1,3,4.6,1.4,Iris-versicolor,,#N/A,train,
92,5.8,2.6,4,1.2,Iris-versicolor,,#N/A,train,
93,5,2.3,3.3,1,Iris-versicolor,,#N/A,train,
94,5.6,2.7,4.2,1.3,Iris-versicolor,,94,test,
95,5.7,3,4.2,1.2,Iris-versicolor,,95,test,
96,5.7,2.9,4.2,1.3,Iris-versicolor,,#N/A,train,
97,6.2,2.9,4.3,1.3,Iris-versicolor,,97,test,
98,5.1,2.5,3,1.1,Iris-versicolor,,#N/A,train,
99,5.7,2.8,4.1,1.3,Iris-versicolor,,#N/A,train,
100,6.3,3.3,6,2.5,Iris-virginica,,#N/A,train,
101,5.8,2.7,5.1,1.9,Iris-virginica,,101,test,
102,7.1,3,5.9,2.1,Iris-virginica,,102,test,
103,6.3,2.9,5.6,1.8,Iris-virginica,,#N/A,train,
104,6.5,3,5.8,2.2,Iris-virginica,,#N/A,train,
105,7.6,3,6.6,2.1,Iris-virginica,,#N/A,train,
106,4.9,2.5,4.5,1.7,Iris-virginica,,106,test,
107,7.3,2.9,6.3,1.8,Iris-virginica,,#N/A,train,
108,6.7,2.5,5.8,1.8,Iris-virginica,,108,test,
109,7.2,3.6,6.1,2.5,Iris-virginica,,109,test,
110,6.5,3.2,5.1,2,Iris-virginica,,#N/A,train,
111,6.4,2.7,5.3,1.9,Iris-virginica,,#N/A,train,
112,6.8,3,5.5,2.1,Iris-virginica,,#N/A,train,
113,5.7,2.5,5,2,Iris-virginica,,#N/A,train,
114,5.8,2.8,5.1,2.4,Iris-virginica,,#N/A,train,
115,6.4,3.2,5.3,2.3,Iris-virginica,,#N/A,train,
116,6.5,3,5.5,1.8,Iris-virginica,,116,test,
117,7.7,3.8,6.7,2.2,Iris-virginica,,#N/A,train,
118,7.7,2.6,6.9,2.3,Iris-virginica,,#N/A,train,
119,6,2.2,5,1.5,Iris-virginica,,119,test,
120,6.9,3.2,5.7,2.3,Iris-virginica,,120,test,
121,5.6,2.8,4.9,2,Iris-virginica,,#N/A,train,
122,7.7,2.8,6.7,2,Iris-virginica,,#N/A,train,
123,6.3,2.7,4.9,1.8,Iris-virginica,,#N/A,train,
124,6.7,3.3,5.7,2.1,Iris-virginica,,124,test,
125,7.2,3.2,6,1.8,Iris-virginica,,#N/A,train,
126,6.2,2.8,4.8,1.8,Iris-virginica,,126,test,
127,6.1,3,4.9,1.8,Iris-virginica,,#N/A,train,
128,6.4,2.8,5.6,2.1,Iris-virginica,,#N/A,train,
129,7.2,3,5.8,1.6,Iris-virginica,,129,test,
130,7.4,2.8,6.1,1.9,Iris-virginica,,#N/A,train,
131,7.9,3.8,6.4,2,Iris-virginica,,#N/A,train,
132,6.4,2.8,5.6,2.2,Iris-virginica,,132,test,
133,6.3,2.8,5.1,1.5,Iris-virginica,,#N/A,train,
134,6.1,2.6,5.6,1.4,Iris-virginica,,#N/A,train,
135,7.7,3,6.1,2.3,Iris-virginica,,#N/A,train,
136,6.3,3.4,5.6,2.4,Iris-virginica,,#N/A,train,
137,6.4,3.1,5.5,1.8,Iris-virginica,,137,test,
138,6,3,4.8,1.8,Iris-virginica,,138,test,
139,6.9,3.1,5.4,2.1,Iris-virginica,,139,test,
140,6.7,3.1,5.6,2.4,Iris-virginica,,140,test,
141,6.9,3.1,5.1,2.3,Iris-virginica,,#N/A,train,
142,5.8,2.7,5.1,1.9,Iris-virginica,,#N/A,train,
143,6.8,3.2,5.9,2.3,Iris-virginica,,#N/A,train,
144,6.7,3.3,5.7,2.5,Iris-virginica,,#N/A,train,
145,6.7,3,5.2,2.3,Iris-virginica,,#N/A,train,
146,6.3,2.5,5,1.9,Iris-virginica,,#N/A,train,
147,6.5,3,5.2,2,Iris-virginica,,#N/A,train,
148,6.2,3.4,5.4,2.3,Iris-virginica,,#N/A,train,
149,5.9,3,5.1,1.8,Iris-virginica,,149,test,
